"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2019","4.867","4.923","4.949","4.843","43.42M","-4.10%"
"06/03/2019","4.862","4.817","4.865","4.778","20.28M","-0.10%"
"06/04/2019","5.010","4.843","5.016","4.840","26.55M","3.04%"
"06/05/2019","4.980","5.000","5.017","4.905","19.12M","-0.60%"
"06/06/2019","4.944","4.960","5.079","4.896","27.26M","-0.72%"
"06/07/2019","4.923","4.949","4.974","4.880","15.41M","-0.42%"
"06/10/2019","5.068","5.015","5.080","4.989","16.54M","2.95%"
"06/11/2019","5.000","5.041","5.062","5.000","15.17M","-1.34%"
"06/12/2019","4.939","4.950","4.960","4.878","20.46M","-1.22%"
"06/13/2019","4.915","4.920","4.968","4.894","13.84M","-0.49%"
"06/14/2019","4.878","4.905","4.915","4.862","13.66M","-0.75%"
"06/17/2019","4.867","4.918","4.939","4.867","13.57M","-0.23%"
"06/18/2019","4.902","4.861","4.922","4.801","23.27M","0.72%"
"06/19/2019","5.010","4.921","5.010","4.892","20.10M","2.20%"
"06/20/2019","4.939","5.010","5.029","4.939","25.41M","-1.42%"
"06/21/2019","4.918","4.960","5.014","4.891","44.32M","-0.43%"
"06/24/2019","4.917","4.921","4.974","4.883","11.18M","-0.02%"
"06/25/2019","4.878","4.887","4.893","4.831","13.83M","-0.79%"
"06/26/2019","4.894","4.861","4.930","4.834","18.47M","0.33%"
"06/27/2019","4.903","4.912","4.972","4.865","15.37M","0.18%"
"06/28/2019","4.917","4.910","4.934","4.888","13.44M","0.29%"
"07/01/2019","4.973","4.981","5.026","4.973","14.33M","1.14%"
"07/02/2019","4.930","4.976","4.992","4.888","13.68M","-0.86%"
"07/03/2019","5.027","4.903","5.027","4.886","14.53M","1.97%"
"07/04/2019","5.087","5.009","5.098","5.009","16.73M","1.19%"
"07/05/2019","5.078","5.083","5.135","5.034","15.02M","-0.18%"
"07/08/2019","4.985","5.050","5.082","4.961","15.37M","-1.83%"
"07/09/2019","4.951","4.965","4.973","4.910","17.03M","-0.68%"
"07/10/2019","4.944","4.930","5.004","4.888","19.73M","-0.14%"
"07/11/2019","4.930","4.963","4.973","4.883","16.83M","-0.28%"
"07/12/2019","4.897","4.952","4.985","4.897","17.76M","-0.67%"
"07/15/2019","4.926","4.915","4.941","4.873","14.56M","0.59%"
"07/16/2019","4.971","4.947","5.008","4.913","16.47M","0.91%"
"07/17/2019","4.905","4.952","4.965","4.900","14.72M","-1.33%"
"07/18/2019","4.856","4.879","4.894","4.812","16.70M","-1.00%"
"07/19/2019","4.780","4.861","4.901","4.758","21.04M","-1.57%"
"07/22/2019","4.745","4.777","4.792","4.711","16.09M","-0.73%"
"07/23/2019","4.880","4.787","4.902","4.771","18.14M","2.85%"
"07/24/2019","4.878","4.851","4.905","4.830","13.45M","-0.04%"
"07/25/2019","4.894","4.878","5.046","4.860","27.63M","0.33%"
"07/26/2019","4.833","4.867","4.887","4.816","14.39M","-1.25%"
"07/29/2019","4.802","4.821","4.848","4.777","11.45M","-0.64%"
"07/30/2019","4.657","4.787","4.793","4.622","24.45M","-3.02%"
"07/31/2019","4.599","4.680","4.725","4.570","25.00M","-1.25%"
"08/01/2019","4.636","4.601","4.723","4.590","20.29M","0.80%"
"08/02/2019","4.522","4.530","4.588","4.492","27.34M","-2.46%"
"08/05/2019","4.460","4.474","4.502","4.435","20.46M","-1.37%"
"08/06/2019","4.414","4.478","4.487","4.407","18.28M","-1.03%"
"08/07/2019","4.407","4.447","4.485","4.368","20.66M","-0.16%"
"08/08/2019","4.518","4.470","4.538","4.423","17.72M","2.52%"
"08/09/2019","4.436","4.457","4.484","4.420","17.87M","-1.81%"
"08/12/2019","4.276","4.444","4.451","4.276","20.75M","-3.61%"
"08/13/2019","4.353","4.263","4.395","4.230","23.50M","1.80%"
"08/14/2019","4.244","4.322","4.325","4.215","22.63M","-2.50%"
"08/15/2019","4.234","4.281","4.298","4.187","20.11M","-0.24%"
"08/16/2019","4.365","4.234","4.375","4.208","41.08M","3.09%"
"08/19/2019","4.269","4.396","4.425","4.269","18.29M","-2.20%"
"08/20/2019","4.207","4.250","4.258","4.190","16.55M","-1.45%"
"08/21/2019","4.231","4.204","4.261","4.204","9.79M","0.57%"
"08/22/2019","4.325","4.229","4.371","4.229","15.13M","2.22%"
"08/23/2019","4.240","4.354","4.373","4.240","15.94M","-1.97%"
"08/26/2019","4.276","4.213","4.308","4.213","10.22M","0.85%"
"08/27/2019","4.290","4.295","4.333","4.261","16.22M","0.33%"
"08/28/2019","4.274","4.290","4.312","4.244","11.51M","-0.37%"
"08/29/2019","4.322","4.266","4.368","4.263","14.91M","1.12%"
"08/30/2019","4.309","4.332","4.359","4.292","12.93M","-0.30%"
"09/02/2019","4.277","4.296","4.330","4.277","8.06M","-0.74%"
"09/03/2019","4.286","4.268","4.319","4.242","14.72M","0.21%"
"09/04/2019","4.313","4.338","4.363","4.303","12.70M","0.63%"
"09/05/2019","4.496","4.359","4.497","4.350","24.41M","4.24%"
"09/06/2019","4.490","4.483","4.560","4.460","15.55M","-0.13%"
"09/09/2019","4.602","4.508","4.602","4.501","15.19M","2.49%"
"09/10/2019","4.696","4.600","4.702","4.542","23.78M","2.04%"
"09/11/2019","4.676","4.740","4.772","4.653","19.60M","-0.43%"
"09/12/2019","4.729","4.678","4.775","4.554","26.76M","1.13%"
"09/13/2019","4.865","4.770","4.872","4.758","27.14M","2.88%"
"09/16/2019","4.795","4.825","4.846","4.758","15.76M","-1.44%"
"09/17/2019","4.697","4.771","4.782","4.669","18.44M","-2.04%"
"09/18/2019","4.692","4.720","4.743","4.646","16.20M","-0.11%"
"09/19/2019","4.785","4.722","4.785","4.694","15.00M","1.98%"
"09/20/2019","4.900","4.770","4.900","4.752","56.44M","2.40%"
"09/23/2019","4.686","4.841","4.850","4.674","26.23M","-4.37%"
"09/24/2019","4.670","4.703","4.726","4.654","15.26M","-0.34%"
"09/25/2019","4.676","4.638","4.683","4.561","15.39M","0.13%"
"09/26/2019","4.694","4.652","4.711","4.635","13.01M","0.38%"
"09/27/2019","4.747","4.710","4.769","4.681","12.39M","1.13%"
"09/30/2019","4.780","4.780","4.806","4.739","21.03M","0.70%"
"10/01/2019","4.700","4.820","4.828","4.700","16.18M","-1.67%"
"10/02/2019","4.519","4.686","4.706","4.519","21.27M","-3.85%"
"10/03/2019","4.519","4.555","4.555","4.463","17.38M","0.00%"
"10/04/2019","4.535","4.546","4.560","4.484","15.36M","0.35%"
"10/07/2019","4.587","4.543","4.614","4.487","13.64M","1.15%"
"10/08/2019","4.505","4.607","4.620","4.462","16.22M","-1.79%"
"10/09/2019","4.506","4.520","4.555","4.481","12.99M","0.02%"
"10/10/2019","4.628","4.516","4.628","4.510","18.48M","2.71%"
"10/11/2019","4.716","4.542","4.719","4.542","23.30M","1.90%"
"10/14/2019","4.635","4.670","4.682","4.587","14.38M","-1.72%"
"10/15/2019","4.749","4.689","4.753","4.632","23.39M","2.46%"
"10/16/2019","4.808","4.731","4.837","4.654","22.52M","1.24%"
"10/17/2019","4.727","4.779","4.876","4.727","22.81M","-1.68%"
"10/18/2019","4.779","4.705","4.790","4.705","18.97M","1.10%"
"10/21/2019","4.892","4.800","4.909","4.788","18.28M","2.36%"
"10/22/2019","4.887","4.893","4.919","4.818","16.74M","-0.10%"
"10/23/2019","4.908","4.838","4.924","4.822","14.90M","0.43%"
"10/24/2019","4.886","4.930","4.967","4.865","16.25M","-0.45%"
"10/25/2019","4.885","4.892","4.930","4.842","13.78M","-0.02%"
"10/28/2019","4.882","4.886","4.905","4.850","12.04M","-0.06%"
"10/29/2019","4.856","4.879","4.894","4.819","23.96M","-0.53%"
"10/30/2019","4.734","4.851","4.864","4.690","33.39M","-2.51%"
"10/31/2019","4.723","4.737","4.755","4.606","24.07M","-0.23%"
"11/01/2019","4.733","4.720","4.738","4.630","22.49M","0.21%"
"11/04/2019","4.878","4.793","4.890","4.760","20.21M","3.06%"
"11/05/2019","4.954","4.900","4.973","4.881","29.80M","1.56%"
