"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2018","6.228","6.241","6.289","6.185","17.23M","0.21%"
"11/16/2018","6.200","6.241","6.280","6.163","21.32M","-0.45%"
"11/19/2018","6.211","6.215","6.267","6.185","8.44M","0.18%"
"11/20/2018","6.150","6.196","6.243","6.107","12.91M","-0.99%"
"11/21/2018","6.141","6.172","6.213","6.096","15.76M","-0.15%"
"11/22/2018","6.113","6.117","6.169","6.078","17.86M","-0.45%"
"11/23/2018","6.141","6.104","6.143","6.104","8.87M","0.46%"
"11/26/2018","6.219","6.172","6.239","6.172","15.27M","1.27%"
"11/27/2018","6.280","6.261","6.308","6.232","14.30M","0.98%"
"11/28/2018","6.211","6.304","6.310","6.211","16.21M","-1.09%"
"11/29/2018","6.124","6.243","6.260","6.102","19.92M","-1.40%"
"11/30/2018","6.113","6.081","6.152","6.061","26.20M","-0.18%"
"12/03/2018","6.139","6.211","6.217","6.131","13.18M","0.42%"
"12/04/2018","6.154","6.154","6.182","6.104","13.70M","0.24%"
"12/05/2018","6.163","6.130","6.169","6.113","9.22M","0.15%"
"12/06/2018","6.059","6.115","6.152","6.046","16.85M","-1.69%"
"12/07/2018","6.119","6.078","6.159","6.076","32.97M","0.98%"
"12/10/2018","6.091","6.096","6.150","6.065","13.60M","-0.45%"
"12/11/2018","6.217","6.113","6.254","6.081","20.35M","2.07%"
"12/12/2018","6.350","6.232","6.373","6.232","20.73M","2.15%"
"12/13/2018","6.501","6.399","6.536","6.399","28.04M","2.37%"
"12/14/2018","6.521","6.467","6.529","6.452","16.87M","0.31%"
"12/17/2018","6.491","6.402","6.559","6.402","24.02M","-0.45%"
"12/18/2018","6.373","6.513","6.530","6.363","27.51M","-1.83%"
"12/19/2018","6.449","6.376","6.521","6.373","19.23M","1.21%"
"12/20/2018","6.424","6.396","6.510","6.362","48.06M","-0.40%"
"12/21/2018","6.411","6.426","6.451","6.349","36.61M","-0.20%"
"12/24/2018","6.437","6.394","6.480","6.362","5.12M","0.40%"
"12/27/2018","6.239","6.424","6.475","6.177","85.25M","-3.07%"
"12/28/2018","6.323","6.279","6.351","6.245","11.20M","1.35%"
"12/31/2018","6.418","6.351","6.431","6.338","6.09M","1.50%"
"01/02/2019","6.400","6.354","6.431","6.277","19.16M","-0.28%"
"01/03/2019","6.411","6.374","6.464","6.351","26.76M","0.17%"
"01/04/2019","6.459","6.435","6.519","6.424","16.58M","0.74%"
"01/07/2019","6.531","6.511","6.536","6.472","15.40M","1.12%"
"01/08/2019","6.507","6.509","6.562","6.494","17.38M","-0.37%"
"01/09/2019","6.420","6.501","6.516","6.411","20.80M","-1.33%"
"01/10/2019","6.456","6.426","6.456","6.417","18.03M","0.55%"
"01/11/2019","6.464","6.450","6.486","6.402","19.97M","0.12%"
"01/14/2019","6.434","6.415","6.482","6.391","24.12M","-0.46%"
"01/15/2019","6.477","6.456","6.503","6.419","33.83M","0.67%"
"01/16/2019","6.471","6.477","6.497","6.441","19.96M","-0.09%"
"01/17/2019","6.501","6.454","6.516","6.445","15.09M","0.46%"
"01/18/2019","6.608","6.520","6.619","6.514","46.60M","1.64%"
"01/21/2019","6.557","6.585","6.598","6.527","17.50M","-0.76%"
"01/22/2019","6.593","6.525","6.593","6.523","19.45M","0.54%"
"01/23/2019","6.613","6.576","6.636","6.559","14.07M","0.31%"
"01/24/2019","6.654","6.613","6.654","6.578","22.75M","0.62%"
"01/25/2019","6.615","6.688","6.729","6.615","18.79M","-0.59%"
"01/28/2019","6.611","6.587","6.634","6.565","10.75M","-0.06%"
"01/29/2019","6.679","6.613","6.703","6.613","13.38M","1.02%"
"01/30/2019","6.649","6.662","6.684","6.617","16.81M","-0.45%"
"01/31/2019","6.735","6.669","6.735","6.654","18.81M","1.29%"
"02/01/2019","6.701","6.765","6.774","6.641","15.61M","-0.50%"
"02/04/2019","6.727","6.699","6.727","6.660","9.62M","0.39%"
"02/05/2019","6.767","6.707","6.767","6.673","21.69M","0.58%"
"02/06/2019","6.776","6.755","6.800","6.737","10.02M","0.14%"
"02/07/2019","6.772","6.772","6.800","6.748","10.96M","-0.06%"
"02/08/2019","6.718","6.759","6.776","6.703","11.19M","-0.80%"
"02/11/2019","6.768","6.740","6.806","6.735","13.30M","0.75%"
"02/12/2019","6.795","6.780","6.853","6.776","11.84M","0.39%"
"02/13/2019","6.763","6.797","6.797","6.735","13.55M","-0.47%"
"02/14/2019","6.720","6.782","6.817","6.705","26.89M","-0.64%"
"02/15/2019","6.782","6.746","6.802","6.709","16.10M","0.92%"
"02/18/2019","6.774","6.791","6.810","6.770","7.53M","-0.11%"
"02/19/2019","6.761","6.798","6.817","6.746","10.68M","-0.19%"
"02/20/2019","6.849","6.828","6.959","6.795","16.36M","1.30%"
"02/21/2019","6.922","6.866","6.946","6.849","16.56M","1.07%"
"02/22/2019","6.939","6.922","6.954","6.888","12.98M","0.24%"
"02/25/2019","6.862","6.939","6.954","6.847","16.84M","-1.11%"
"02/26/2019","6.860","6.871","6.879","6.802","17.88M","-0.03%"
"02/27/2019","6.868","6.888","6.920","6.860","17.00M","0.11%"
"02/28/2019","6.877","6.868","6.883","6.828","17.99M","0.14%"
"03/01/2019","6.821","6.884","6.901","6.806","18.24M","-0.82%"
"03/04/2019","6.840","6.847","6.858","6.808","9.28M","0.27%"
"03/05/2019","6.875","6.826","6.896","6.819","11.00M","0.52%"
"03/06/2019","6.899","6.886","6.913","6.847","15.55M","0.35%"
"03/07/2019","7.143","6.905","7.152","6.905","27.12M","3.52%"
"03/08/2019","7.060","7.083","7.180","7.060","17.87M","-1.15%"
"03/11/2019","7.098","7.088","7.103","7.047","26.80M","0.53%"
"03/12/2019","7.141","7.103","7.173","7.066","19.88M","0.61%"
"03/13/2019","7.098","7.150","7.191","7.096","14.42M","-0.60%"
"03/14/2019","7.105","7.109","7.135","7.077","47.31M","0.11%"
"03/15/2019","7.176","7.128","7.240","7.115","49.79M","1.00%"
"03/18/2019","7.223","7.202","7.223","7.158","13.49M","0.65%"
"03/19/2019","7.236","7.223","7.283","7.216","9.40M","0.18%"
"03/20/2019","7.266","7.217","7.275","7.217","17.66M","0.41%"
"03/21/2019","7.277","7.277","7.328","7.232","13.80M","0.15%"
"03/22/2019","7.229","7.303","7.311","7.210","21.26M","-0.67%"
"03/25/2019","7.268","7.212","7.270","7.208","16.78M","0.54%"
"03/26/2019","7.264","7.268","7.296","7.244","36.20M","-0.05%"
"03/27/2019","7.375","7.274","7.375","7.199","17.81M","1.52%"
"03/28/2019","7.347","7.361","7.401","7.347","15.65M","-0.38%"
"03/29/2019","7.320","7.360","7.375","7.300","16.44M","-0.36%"
"04/01/2019","7.268","7.343","7.361","7.255","25.86M","-0.72%"
"04/02/2019","7.294","7.277","7.333","7.266","20.55M","0.36%"
"04/03/2019","7.399","7.343","7.399","7.266","15.07M","1.44%"
"04/04/2019","7.446","7.395","7.479","7.395","18.01M","0.63%"
"04/05/2019","7.429","7.455","7.457","7.393","16.56M","-0.23%"
"04/08/2019","7.393","7.431","7.457","7.393","13.88M","-0.48%"
"04/09/2019","7.403","7.388","7.453","7.382","11.76M","0.13%"
"04/10/2019","7.434","7.408","7.466","7.401","12.71M","0.43%"
"04/11/2019","7.341","7.418","7.423","7.330","28.42M","-1.26%"
"04/12/2019","7.253","7.324","7.375","7.253","15.65M","-1.20%"
"04/15/2019","7.287","7.274","7.303","7.242","11.70M","0.46%"
"04/16/2019","7.219","7.275","7.305","7.219","12.63M","-0.92%"
"04/17/2019","7.260","7.208","7.264","7.113","13.45M","0.57%"
"04/18/2019","7.275","7.260","7.292","7.199","22.86M","0.21%"
"04/23/2019","7.332","7.277","7.332","7.262","15.30M","0.77%"
"04/24/2019","7.307","7.303","7.311","7.255","17.05M","-0.33%"
"04/25/2019","7.622","7.390","7.627","7.390","20.02M","4.30%"
"04/26/2019","7.524","7.623","7.666","7.476","23.35M","-1.28%"
"04/29/2019","7.421","7.468","7.483","7.384","11.37M","-1.37%"
"04/30/2019","7.575","7.448","7.575","7.401","15.87M","2.07%"
"05/02/2019","7.433","7.550","7.550","7.433","18.61M","-1.88%"
"05/03/2019","7.461","7.414","7.489","7.408","8.66M","0.38%"
"05/06/2019","7.489","7.348","7.491","7.343","9.12M","0.38%"
"05/07/2019","7.504","7.489","7.627","7.459","14.51M","0.20%"
"05/08/2019","7.403","7.491","7.515","7.382","13.32M","-1.35%"
"05/09/2019","7.371","7.380","7.438","7.367","12.94M","-0.43%"
"05/10/2019","7.476","7.390","7.502","7.376","14.10M","1.42%"
"05/13/2019","7.541","7.502","7.554","7.459","13.99M","0.88%"
"05/14/2019","7.590","7.577","7.590","7.502","11.68M","0.64%"
"05/15/2019","7.663","7.575","7.663","7.539","15.58M","0.96%"
"05/16/2019","7.683","7.633","7.689","7.599","14.64M","0.27%"
"05/17/2019","7.651","7.670","7.696","7.625","14.41M","-0.41%"
"05/20/2019","7.646","7.668","7.698","7.599","18.97M","-0.07%"
"05/21/2019","7.633","7.629","7.665","7.569","15.05M","-0.17%"
"05/22/2019","7.764","7.646","7.771","7.607","10.20M","1.72%"
"05/23/2019","7.730","7.721","7.784","7.700","23.27M","-0.43%"
"05/24/2019","7.904","7.747","7.904","7.728","15.45M","2.25%"
"05/27/2019","7.947","7.915","8.007","7.897","9.91M","0.54%"
"05/28/2019","7.928","7.969","8.001","7.911","43.49M","-0.24%"
"05/29/2019","7.895","7.878","7.902","7.831","14.09M","-0.42%"
"05/30/2019","7.874","7.850","7.947","7.839","10.35M","-0.26%"
"05/31/2019","7.777","7.848","7.889","7.751","25.43M","-1.24%"
"06/03/2019","7.882","7.747","7.882","7.728","24.35M","1.35%"
"06/04/2019","7.910","7.857","7.968","7.842","16.02M","0.36%"
"06/05/2019","8.048","7.947","8.052","7.906","55.55M","1.75%"
"06/06/2019","8.211","8.054","8.211","8.050","20.65M","2.02%"
"06/07/2019","8.297","8.175","8.332","8.173","16.34M","1.05%"
"06/10/2019","8.248","8.295","8.304","8.218","9.70M","-0.59%"
"06/11/2019","8.230","8.248","8.265","8.198","14.84M","-0.23%"
"06/12/2019","8.113","8.001","8.113","8.001","18.83M","-1.42%"
"06/13/2019","8.122","8.122","8.166","8.091","19.79M","0.11%"
"06/14/2019","8.175","8.158","8.175","8.131","14.59M","0.65%"
"06/17/2019","8.122","8.153","8.177","8.091","17.36M","-0.65%"
"06/18/2019","8.275","8.133","8.328","8.104","18.92M","1.89%"
"06/19/2019","8.131","8.259","8.259","8.115","27.91M","-1.74%"
"06/20/2019","8.126","8.213","8.239","8.102","23.65M","-0.07%"
"06/21/2019","8.168","8.149","8.213","8.127","42.54M","0.52%"
"06/24/2019","8.162","8.184","8.189","8.095","17.27M","-0.07%"
"06/25/2019","8.109","8.115","8.158","8.105","51.06M","-0.65%"
"06/26/2019","8.049","8.104","8.107","8.043","19.49M","-0.74%"
"06/27/2019","8.009","8.045","8.045","7.978","16.90M","-0.50%"
"06/28/2019","8.000","7.990","8.007","7.927","23.89M","-0.11%"
"07/01/2019","7.976","8.063","8.063","7.883","17.95M","-0.30%"
"07/02/2019","8.109","8.009","8.147","7.992","20.14M","1.67%"
"07/03/2019","8.215","8.164","8.261","8.142","18.10M","1.31%"
"07/04/2019","8.124","8.231","8.232","8.076","16.32M","-1.10%"
"07/05/2019","8.030","8.104","8.154","7.968","20.30M","-1.17%"
"07/08/2019","7.994","7.974","8.018","7.920","17.87M","-0.44%"
"07/09/2019","7.996","7.972","8.043","7.955","25.15M","0.02%"
"07/10/2019","8.015","7.964","8.024","7.912","17.20M","0.23%"
