"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2018","8.1600","8.1990","8.2250","8.1470","7.29M","-0.37%"
"04/16/2018","8.1530","8.1620","8.1800","8.1030","7.76M","-0.09%"
"04/17/2018","8.1570","8.1850","8.1900","8.1350","8.58M","0.05%"
"04/18/2018","8.1640","8.1620","8.2220","8.1600","9.30M","0.09%"
"04/19/2018","8.1860","8.1500","8.1950","8.1500","7.35M","0.27%"
"04/20/2018","8.2490","8.2000","8.2920","8.1840","14.90M","0.77%"
"04/23/2018","8.3330","8.2480","8.3450","8.2300","10.03M","1.02%"
"04/24/2018","8.3040","8.3450","8.3920","8.2730","10.41M","-0.35%"
"04/25/2018","8.3390","8.2430","8.3840","8.2400","12.34M","0.42%"
"04/26/2018","8.4050","8.4300","8.4680","8.2750","13.42M","0.79%"
"04/27/2018","8.3980","8.4180","8.4470","8.3530","9.30M","-0.08%"
"04/30/2018","8.4330","8.4100","8.4760","8.3900","10.12M","0.42%"
"05/02/2018","8.4200","8.4130","8.4440","8.3660","10.40M","-0.15%"
"05/03/2018","8.3670","8.3890","8.4140","8.3330","9.06M","-0.63%"
"05/04/2018","8.3060","8.3460","8.3640","8.2470","17.92M","-0.73%"
"05/07/2018","8.2830","8.2590","8.3200","8.2510","7.38M","-0.28%"
"05/08/2018","8.3270","8.2850","8.3480","8.2600","12.96M","0.53%"
"05/09/2018","8.3360","8.3000","8.3370","8.2520","8.35M","0.11%"
"05/10/2018","8.3400","8.3490","8.3610","8.2600","7.56M","0.05%"
"05/11/2018","8.3480","8.3410","8.3850","8.3130","8.39M","0.10%"
"05/14/2018","8.2390","8.3800","8.3800","8.2230","12.06M","-1.31%"
"05/15/2018","8.0520","8.1790","8.1800","8.0110","26.15M","-2.27%"
"05/16/2018","8.0510","8.0930","8.1300","7.9950","18.20M","-0.01%"
"05/17/2018","8.0670","8.0600","8.0800","8.0180","11.20M","0.20%"
"05/18/2018","7.9700","8.0750","8.1040","7.9450","23.74M","-1.20%"
"05/21/2018","7.8930","8.0100","8.0200","7.8610","12.24M","-0.97%"
"05/22/2018","7.6330","7.5888","7.6512","7.5475","15.77M","-3.29%"
"05/23/2018","7.5782","7.5936","7.6032","7.5091","12.71M","-0.72%"
"05/24/2018","7.5293","7.5974","7.6080","7.5082","18.42M","-0.65%"
"05/25/2018","7.4659","7.5590","7.5590","7.3699","21.06M","-0.84%"
"05/28/2018","7.3795","7.5034","7.5235","7.3632","12.19M","-1.16%"
"05/29/2018","7.3075","7.3546","7.3546","7.2096","35.57M","-0.98%"
"05/30/2018","7.3210","7.3344","7.3718","7.2624","72.78M","0.18%"
"05/31/2018","7.2451","7.3478","7.3584","7.1558","28.01M","-1.04%"
"06/01/2018","7.3200","7.3037","7.3862","7.2662","24.48M","1.03%"
"06/04/2018","7.4208","7.3757","7.5062","7.3555","59.25M","1.38%"
"06/05/2018","7.3795","7.3939","7.4323","7.3478","48.18M","-0.56%"
"06/06/2018","7.4381","7.3786","7.4592","7.3248","208.52M","0.79%"
"06/07/2018","7.4285","7.4784","7.5235","7.4246","103.63M","-0.13%"
"06/08/2018","7.2787","7.3939","7.3958","7.2557","123.44M","-2.02%"
"06/11/2018","7.3478","7.3325","7.3786","7.3008","87.78M","0.95%"
"06/12/2018","7.3738","7.3920","7.4026","7.3200","24.23M","0.35%"
"06/13/2018","7.1539","7.2595","7.2624","7.1366","160.59M","-2.98%"
"06/14/2018","7.2470","7.1261","7.2576","7.1194","91.58M","1.30%"
"06/15/2018","7.1491","7.2355","7.2576","7.1194","169.27M","-1.35%"
"06/18/2018","7.1040","7.1366","7.2278","7.0694","99.54M","-0.63%"
"06/19/2018","7.0742","7.0464","7.0982","6.9984","48.67M","-0.42%"
"06/20/2018","7.1347","7.1232","7.2154","7.1136","32.11M","0.85%"
"06/21/2018","7.0944","7.1434","7.1818","7.0608","15.55M","-0.57%"
"06/22/2018","7.1578","7.0886","7.1693","7.0886","11.03M","0.89%"
"06/25/2018","7.0627","7.1136","7.1443","7.0627","15.48M","-1.33%"
"06/26/2018","7.0570","7.1136","7.1923","7.0330","19.18M","-0.08%"
"06/27/2018","7.0570","7.0368","7.1261","6.9427","16.99M","0.00%"
"06/28/2018","6.9946","7.0186","7.0829","6.9610","13.32M","-0.88%"
"06/29/2018","6.9878","7.0742","7.0896","6.9840","18.34M","-0.10%"
"07/02/2018","6.9571","6.9427","6.9859","6.8736","10.79M","-0.44%"
"07/03/2018","7.1088","6.9811","7.1107","6.9763","14.18M","2.18%"
"07/04/2018","7.2845","7.0896","7.3440","7.0848","27.33M","2.47%"
"07/05/2018","7.3565","7.2787","7.3795","7.2739","17.49M","0.99%"
"07/06/2018","7.4016","7.3728","7.4112","7.3392","15.10M","0.61%"
"07/09/2018","7.3968","7.4400","7.4803","7.3891","11.72M","-0.06%"
"07/10/2018","7.3622","7.3930","7.4131","7.3162","11.37M","-0.47%"
"07/11/2018","7.2960","7.3344","7.3987","7.2902","18.29M","-0.90%"
"07/12/2018","7.2787","7.3306","7.3344","7.2490","10.88M","-0.24%"
"07/13/2018","7.2624","7.3027","7.3344","7.2470","16.02M","-0.22%"
"07/16/2018","7.2173","7.2634","7.2787","7.1722","12.16M","-0.62%"
"07/17/2018","7.1482","7.2163","7.2163","7.0579","17.30M","-0.96%"
"07/18/2018","7.1635","7.1779","7.2269","7.1261","9.75M","0.21%"
"07/19/2018","7.1011","7.1520","7.1933","7.0522","15.14M","-0.87%"
"07/20/2018","7.1078","7.1059","7.1347","7.0570","16.12M","0.09%"
"07/23/2018","7.0886","7.0560","7.0982","7.0118","11.52M","-0.27%"
"07/24/2018","7.0925","7.1213","7.1472","7.0694","11.16M","0.05%"
"07/25/2018","7.0762","7.0925","7.1328","7.0531","12.23M","-0.23%"
"07/26/2018","7.3238","7.1530","7.3776","7.1357","30.63M","3.50%"
"07/27/2018","7.3594","7.3171","7.4323","7.3142","12.37M","0.48%"
"07/30/2018","7.4016","7.3565","7.4294","7.3440","11.79M","0.57%"
"07/31/2018","7.3834","7.3968","7.4678","7.3728","15.24M","-0.25%"
"08/01/2018","7.3546","7.3632","7.4189","7.3200","9.58M","-0.39%"
"08/02/2018","7.2922","7.3363","7.3642","7.2355","17.10M","-0.85%"
"08/03/2018","7.3171","7.2912","7.3286","7.2326","9.40M","0.34%"
"08/06/2018","7.3104","7.3296","7.3690","7.2576","10.06M","-0.09%"
"08/07/2018","7.3498","7.3210","7.3795","7.2989","7.74M","0.54%"
"08/08/2018","7.3248","7.3392","7.3776","7.2566","9.38M","-0.34%"
"08/09/2018","7.2902","7.3238","7.3238","7.2470","8.96M","-0.47%"
"08/10/2018","7.1712","7.2576","7.2797","7.1299","16.01M","-1.63%"
"08/13/2018","7.1549","7.1366","7.1741","7.0781","14.23M","-0.23%"
"08/14/2018","7.1366","7.1885","7.2211","7.1242","9.70M","-0.25%"
"08/15/2018","7.0771","7.1510","7.1539","7.0272","12.70M","-0.83%"
"08/16/2018","7.0934","7.1222","7.1299","7.0483","10.94M","0.23%"
"08/17/2018","7.0205","7.1059","7.1357","6.9754","16.61M","-1.03%"
"08/20/2018","7.0320","7.0339","7.0656","6.9888","12.65M","0.16%"
"08/21/2018","7.0474","7.0349","7.1002","7.0176","6.93M","0.22%"
"08/22/2018","7.0464","7.0560","7.1174","7.0080","11.72M","-0.01%"
"08/23/2018","7.0397","7.0627","7.1030","7.0214","7.01M","-0.10%"
"08/24/2018","7.0339","7.0397","7.0781","7.0253","8.88M","-0.08%"
"08/27/2018","7.0474","7.0790","7.0800","7.0243","5.55M","0.19%"
"08/28/2018","6.9763","7.0637","7.0637","6.9763","10.81M","-1.01%"
"08/29/2018","6.9696","6.9869","6.9965","6.9264","10.14M","-0.10%"
"08/30/2018","6.8227","6.9571","6.9600","6.8035","23.30M","-2.11%"
"08/31/2018","6.7075","6.8150","6.8150","6.6816","26.00M","-1.69%"
"09/03/2018","6.7248","6.7152","6.7315","6.6720","9.20M","0.26%"
"09/04/2018","6.6490","6.7555","6.7555","6.6173","31.17M","-1.13%"
"09/05/2018","6.5290","6.6144","6.6269","6.5213","26.04M","-1.80%"
"09/06/2018","6.4723","6.4810","6.5069","6.3984","17.18M","-0.87%"
"09/07/2018","6.5040","6.5078","6.5626","6.4483","14.55M","0.49%"
"09/10/2018","6.5338","6.5030","6.5885","6.4598","13.04M","0.46%"
"09/11/2018","6.5203","6.5587","6.5664","6.4598","15.12M","-0.21%"
"09/12/2018","6.4147","6.4579","6.4800","6.3283","22.24M","-1.62%"
